#2.diskStellarLuminosity:SDSS_g:observed:z0.1000    #4.diskStellarLuminosity:SDSS_r:observed:z0.1000   #6.spheroidStellarLuminosity:SDSS_g:observed:z0.1000    #8.spheroidStellarLuminosity:SDSS_r:observed:z0.1000
7361489.63528381    9633623.1081044   721561.299502889    1299592.34423058
12689339.3927098    21641132.2605219   2306554.9624861    4818688.48728754
38209995.8655869    48166546.5180459   7515470.74915392    13454983.5359631
8165820.61402137    9424476.90897769   8520351.39423547    16607858.1005956
152783419.167357    199931543.594155   34590654.987233    62136782.0923883
42956601.7138169    60080246.7610217   4396983.70605951    8915959.93157776
10616278.7864117    20257890.1778298   3239742.37072042    6711194.89235269
58361273.6551551    106418113.886576   21828184.2696911    57553995.3217275
21078697.3972606    29076822.2736585   5429015.16155047    11211550.0552946
145972585.998701    202948459.946171   27977047.9414685    65021964.7302956
27620480.6746645    39480111.7452608   2834754.51224886    5906677.00994759
4298647.27138602    4339919.57594616   7397432.21447126    14322505.7645219
6949323.42717834    10817151.8448528   806814.061731837    1537366.26625071
15423553.1691928    21982942.8983654   1977112.80596113    3990277.47553951
9444854.61963337    13557104.650372   1513143.87092701    2953635.90824093
80699340.2256776    113108612.031143   9185563.917684    19928648.4872305
21655999.7875948    24444486.3944487   14609971.5264167    28442387.6016978
83676047.0243355    127643935.277388   14452776.797107    31568945.246516
24779498.9628395    28970789.8414312   10646566.2840645    21754043.7935862
29975198.7455361    41623364.9582002   2760826.82713199    6032127.33246531
26629031.4331828    39001207.8474968   2927137.60526273    5942691.23167645
15425931.2185462    21065721.6063577   1601544.66830752    2988503.87615469
63885821.8024193    89939991.3717796   6218496.52930201    13366300.1527899
10506640.2416316    14231215.5787002   1389760.05432563    2730130.84050142
9220670.49725533    14468921.6644367   806317.999895196    1530630.94323913
1360610.13505525    2357902.01928968   766962.809413261    1353992.99074551
18549507.928124    25048222.1246282   1591226.38759183    3118719.42189575
17488797.1004578    18950032.2736592   15333313.628315    31213141.8132348
28859522.8234822    35167608.3301543   4183003.76621955    8470181.97964652
3504460.71124577    3777613.71057709   6248736.7166072    11576488.5257648
